htid,series_id,year,rights,title
chi.78691817,WWA,1900,pd,Who's who in America.
iau.31858002526410,WWA,1900,pd,Who's who in America.
hvd.32044024431470,WWA,1900,pd,Who's who in America.
mdp.39015010397050,WWA,1900,pd,Who's who in America.
njp.32101064485285,WWA,1900,pd,Who's who in America.
njp.32101064485293,WWA,1900,pd,Who's who in America.
coo.31924112619402,WWA,1902,pd,Who's who in America.
hvd.32044036316149,WWA,1902,pd,Who's who in America.
mdp.39015039596534,WWA,1902,pd,Who's who in America.
nyp.33433082307764,WWA,1902,pd,Who's who in America.
mdp.39015010534280,WWA,1905,pd,Who's who in America.
coo.31924112619410,WWA,1905,pd,Who's who in America.
hvd.32044024431496,WWA,1905,pd,Who's who in America.
nyp.33433082307798,WWA,1905,pd,Who's who in America.
pst.000010657744,WWA,1907,pd,Who's who in America.
msu.31293021756212,WWA,1907,pd,Who's who in America.
hvd.32044098883580,WWA,1907,pd,Who's who in America.
mdp.39015039596542,WWA,1907,pd,Who's who in America.
hvd.32044098883572,WWA,1909,pd,Who's who in America.
mdp.39015039596559,WWA,1909,pd,Who's who in America.
nyp.33433082309752,WWA,1909,pd,Who's who in America.
coo.31924112619444,WWA,1911,pd,Who's who in America.
hvd.32044024431488,WWA,1911,pd,Who's who in America.
mdp.39015039596567,WWA,1911,pd,Who's who in America.
nyp.33433082307780,WWA,1911,pd,Who's who in America.
uc1.31175023099156,WWA,1913,pd,Who's who in America.
mdp.39015032856588,WWA,1913,pd,Who's who in America.
nyp.33433082307772,WWA,1913,pd,Who's who in America.
uc1.c008512777,WWA,1915,pd,Who's who in America.
mdp.39015039596575,WWA,1917,pd,Who's who in America.
mdp.39015039596583,WWA,1919,pd,Who's who in America.
mdp.39015039596591,WWA,1921,pd,Who's who in America.
msu.31293021756287,WWA,1923,pd,Who's who in America.
msu.31293021756279,WWA,1923,pd,Who's who in America.
uc1.31175024129093,WWA,1923,pd,Who's who in America.
uc1.31175024129101,WWA,1925,pd,Who's who in America.
uc1.31175024118294,WWA,1927,pd,Who's who in America.
uc1.31175025329403,WWA,1927,pd,Who's who in America.
mdp.39015071164357,WWA,1929,pd,Who's who in America.
msu.31293031751054,WWA,1930,pdus,"Leaders, as recorded in ""Who's who in America"" & in ""Rus"" & their group & intergroup relationships / by John F. Thaden."
uc1.31175024129119,WWA,1931,pdus,Who's who in America.
uc1.31175024129127,WWA,1931,pdus,Who's who in America.
uc1.31175024129135,WWA,1933,ic,Who's who in America.
uc1.31175014880143,WWA,1935,ic,Who's who in America.
uc1.31175025329411,WWA,1935,ic,Who's who in America.
uc1.31175024129143,WWA,1937,ic,Who's who in America.
uc1.31175024129150,WWA,1937,ic,Who's who in America.
uc1.31175005923019,WWA,1939,ic,Who's who in America.
uc1.31175025329429,WWA,1939,ic,Who's who in America.
nnc1.cu04195426,WWA,1940,pdus,1940 Who's who in America occupational index ...
uc1.31175014880135,WWA,1941,ic,Who's who in America.
uc1.31175025329437,WWA,1941,ic,Who's who in America.
osu.32435070486790,WWA,1941,ic,Who's who in America current biographical reference service.
osu.32435070486493,WWA,1941,ic,Who's who in America current biographical reference service.
cub.u183033028443,WWA,1941,ic,Who's who in America current biographical reference service.
cub.u183033028370,WWA,1941,ic,Who's who in America current biographical reference service.
ufl.35051124713688,WWA,1942,ic,Who's who in America.
ufl.31262083507102,WWA,1942,ic,Who's who in America.
ufl.35051124713696,WWA,1943,ic,Who's who in America.
uc1.31175024129168,WWA,1943,ic,Who's who in America.
uc1.31175024129176,WWA,1943,ic,Who's who in America.
ufl.31262083506997,WWA,1943,ic,Who's who in America.
ufl.31262083506930,WWA,1944,ic,Who's who in America.
uc1.31175024129184,WWA,1945,ic,Who's who in America.
ufl.31262083507045,WWA,1945,ic,Who's who in America.
ufl.35051124713704,WWA,1947,ic,Who's who in America.
ufl.31262083506849,WWA,1947,ic,Who's who in America.
uc1.31175020384254,WWA,1947,ic,Who's who in America.
ufl.35051124713712,WWA,1948,ic,Who's who in America.
ufl.35051124713720,WWA,1949,ic,Who's who in America.
uc1.31175038030428,WWA,1949,ic,Who's who in America.
ufl.35051123502751,WWA,1950,ic,Who's who in America.
ufl.35051123502769,WWA,1951,ic,Who's who in America.
uc1.31175024129192,WWA,1951,ic,Who's who in America.
ufl.31262083506880,WWA,1951,ic,Who's who in America.
ufl.31262070335574,WWA,1951,ic,Who's who in America.
uiug.30112100608022,WWA,1952,ic,"Who's who in America. Indices to and vocational analysis of, the living biographees."
ufl.35051123502785,WWA,1953,ic,Who's who in America.
uc1.31175024129200,WWA,1953,ic,Who's who in America.
ufl.35051123502793,WWA,1954,ic,Who's who in America.
uc1.32106000244548,WWA,1954,ic,"Who knows, and what, among authorities, experts, and the specially informed. Rev. ed., compiled under the supervision of"
ufl.35051113375739,WWA,1955,ic,Who's who in America.
ufl.35051123502801,WWA,1955,ic,Who's who in America.
uc1.31175024129218,WWA,1955,ic,Who's who in America.
uc1.31175024129226,WWA,1955,ic,Who's who in America.
ufl.31262083507086,WWA,1956,ic,Who's who in America.
uc1.31175024129952,WWA,1957,ic,Who's who in America.
ufl.35051124713738,WWA,1958,ic,Who's who in America.
mdp.39015065839493,WWA,1958,und,Who; sixty years of American eminence. The story of Who's who in America.
uc1.b4431062,WWA,1958,und,Who; sixty years of American eminence. The story of Who's who in America.
coo.31924014024636,WWA,1958,pd,"Indices and necrology to accompany the 60th anniversary edition of Who's who in America, v. 30 (1958-59) Including: Voca"
ufl.35051123502843,WWA,1959,ic,Who's who in America.
uc1.31175024129960,WWA,1959,ic,Who's who in America.
uc1.31175024129978,WWA,1961,ic,Who's who in America.
uc1.31175024129986,WWA,1963,ic,Who's who in America.
uva.x000132541,WWA,1976,ic,Who's who biographical record : school district officials / compiled by the editors of Who's who in America.
uc1.32106020404197,WWA,1983,und,"Who's who in America. Index ... geographic index, professional area index."
uc1.32106020404189,WWA,1983,und,"Who's who in America. Index ... geographic index, professional area index."
coo.31924000052807,WWA,1985,ic,"American leaders past and present : the view from Who's who in America / Adele Hast, Jennie Farley."
pst.000012198399,WWA,1987,ic,Who's who in America's restaurants.
mdp.39015026534787,WWA,1994,ic,Who's who in America.
mdp.39015027137689,WWA,1995,ic,Who's who in America.
mdp.39015071164589,WWA,1996,ic,Who's who in America.
mdp.39015071164613,WWA,2000,ic,Who's who in America.
mdp.39015048297793,WWA,2002,ic,Who's who in America.
mdp.39015071164647,WWA,2004,ic,Who's who in America.
inu.30000100771439,WWAL,,und,Who's who in American law.
umn.31951d00550163y,WWAL,1979,ic,Who's who in American law.
umn.31951d00495604o,WWAL,1991,ic,Who's who in American law.
osu.32435051101731,WWAW,1959,ic,Who's who of American women ; a biographical dictionary of notable living American women.
osu.32435055048748,WWAW,1959,ic,Who's who of American women ; a biographical dictionary of notable living American women.
mdp.39015068892747,WWAW,1959,ic,Who's who of American women ; a biographical dictionary of notable living American women.
uva.x030351294,WWAW,1959,ic,Who's who of American women.
mdp.39015068892721,WWAW,1961,ic,Who's who of American women ; a biographical dictionary of notable living American women.
mdp.39015068892713,WWAW,1965,ic,Who's who of American women ; a biographical dictionary of notable living American women.
uva.x030351295,WWAW,1965,ic,Who's who of American women.
mdp.39015068892705,WWAW,1967,ic,Who's who of American women ; a biographical dictionary of notable living American women.
uva.x004520920,WWCI,1936,ic,World who's who in commerce and industry.
ufl.35051124713290,WWCI,1936,ic,Who's who in commerce and industry.
osu.32435063918064,WWCI,1943,ic,Who's who in commerce and industry.
rul.39030043059551,WWCI,1947,ic,Who's who in commerce and industry.
ufl.31262052693610,WWCI,1947,ic,Who's who in commerce and industry.
cub.u183030793798,WWCI,1951,ic,World who's who in commerce and industry.
ufl.31262052693636,WWCI,1951,ic,Who's who in commerce and industry.
mdp.39015068911232,WWCI,1953,ic,Who's who in commerce and industry.
mdp.39015068911224,WWCI,1955,ic,Who's who in commerce and industry.
rul.39030043059601,WWCI,1956,ic,Who's who in commerce and industry.
mdp.39015068911216,WWCI,1957,ic,Who's who in commerce and industry.
uc1.31210016928994,WWCI,1957,ic,World who's who in commerce and industry.
rul.39030043059569,WWCI,1958,ic,Who's who in commerce and industry.
uc1.$b807981,WWCI,1959,und,Who's who in commerce and industry.
uc1.b2977043,WWCI,1959,und,Who's who in commerce and industry.
uc1.b2977044,WWCI,1959,und,Who's who in commerce and industry.
uc1.b2977045,WWCI,1959,und,Who's who in commerce and industry.
uc1.b2977046,WWCI,1959,und,Who's who in commerce and industry.
uc1.b2977047,WWCI,1959,und,Who's who in commerce and industry.
uc1.b2977048,WWCI,1959,und,Who's who in commerce and industry.
ufl.31262052693503,WWCI,1959,ic,Who's who in commerce and industry.
osu.32435024265175,WWCI,1961,ic,World who's who in commerce and industry.
mdp.39015068911208,WWCI,1961,ic,World who's who in commerce and industry.
uc1.32106017121358,WWCI,1961,ic,Who's who in commerce and industry.
mdp.39015068911190,WWCI,1965,ic,World who's who in commerce and industry.
uc1.32106017121366,WWCI,1965,ic,Who's who in commerce and industry.
uc1.32106017121374,WWCI,1965,ic,Who's who in commerce and industry.
mdp.39015068911182,WWCI,1967,ic,World who's who in commerce and industry.
uc1.32106017121382,WWCI,1967,ic,Who's who in commerce and industry.
mdp.39015068911174,WWCI,1969,ic,World who's who in commerce and industry.
uc1.b2977049,WWCI,1969,und,World who's who in commerce and industry.
uc1.b2977050,WWCI,1969,und,World who's who in commerce and industry.
uc1.b2977051,WWCI,1969,und,World who's who in commerce and industry.
uc1.b2977052,WWCI,1969,ic,World who's who in commerce and industry.
uc1.32106017121390,WWCI,1969,ic,Who's who in commerce and industry.
mdp.39015068969537,WWE,1943,ic,Who's who in the East.
mdp.39015068969529,WWE,1943,ic,Who's who in the East.
mdp.39015068969511,WWE,1943,ic,Who's who in the East.
mdp.39015068969503,WWE,1943,ic,Who's who in the East.
mdp.39015068969487,WWE,1943,ic,Who's who in the East.
mdp.39015068969495,WWE,1943,ic,Who's who in the East.
mdp.39015068969453,WWE,1943,ic,Who's who in the East.
mdp.39015068970345,WWE,1943,ic,Who's who in the East.
mdp.39015068970311,WWE,1943,ic,Who's who in the East.
mdp.39015068970303,WWE,1943,ic,Who's who in the East.
osu.32435021157284,WWE,1943,ic,Who's who in the East.
osu.32435021157268,WWE,1943,ic,Who's who in the East.
osu.32435068767144,WWE,1943,ic,Who's who in the East.
uiug.30112046370091,WWE,1943,ic,Who's who in the East.
wu.89058443516,WWE,1943,ic,Who's who in the East.
rul.39030032747950,WWE,1950,ic,Who's who in the East and Eastern Canada.
rul.39030032747943,WWE,1953,ic,Who's who in the East and Eastern Canada.
ien.35556001664747,WWE,1954,pdus,Who's who in the Eastern Christian world : with illustrated notes on clerical costumes / by Charles T. Bridgeman.
rul.39030032747968,WWE,1955,ic,Who's who in the East and Eastern Canada.
rul.39030032747976,WWE,1957,ic,Who's who in the East and Eastern Canada.
rul.39030032747984,WWE,1959,ic,Who's who in the East and Eastern Canada.
rul.39030032747711,WWE,1961,ic,Who's who in the East and Eastern Canada.
mdp.39015076038184,WWFB,1911,pd,"Who's who in finance, banking and insurance; a biographical dictionary of contemporaries."
mdp.39015076038192,WWFB,1911,pd,"Who's who in finance, banking and insurance; a biographical dictionary of contemporaries."
mdp.39015076038200,WWFB,1911,pd,"Who's who in finance, banking and insurance; a biographical dictionary of contemporaries."
mdp.39015077845967,WWFB,1911,pd,"Who's who in finance, banking and insurance; a biographical dictionary of contemporaries."
uga1.32108007081022,WWFB,1911,pd,"Who's who in finance, banking and insurance; a biographical dictionary of contemporaries."
hvd.hb0qdo,WWFB,1911,pd,"Who's who in finance, banking, and insurance."
hvd.32044105545917,WWFB,1922,pd,Who's who in finance and banking.
wu.89094369311,WWFB,1922,pd,Who's who in finance and banking.
nyp.33433082528658,WWFB,1922,pd,Who's who in finance and banking.
hvd.hb0qdn,WWFB,1922,pd,"Who's who in finance, banking, and insurance."
cub.p101330506008,WWFB,1928,pd,"Who's who in finance, banking, and insurance."
mdp.39015068911166,WWFI,1971,ic,Who's who in finance and industry.
mdp.39015068911141,WWFI,1976,ic,Who's who in finance and industry.
uc1.32106017121192,WWFI,1976,ic,Who's who in finance and industry
mdp.39015068911133,WWFI,1978,ic,Who's who in finance and industry.
uc1.32106017121200,WWFI,1978,ic,Who's who in finance and industry
mdp.39015068911117,WWFI,1980,ic,Who's who in finance and industry.
uc1.32106017121218,WWFI,1980,ic,Who's who in finance and industry
mdp.39015022219995,WWFI,1982,ic,Who's who in finance and industry.
uc1.32106017121226,WWFI,1982,ic,Who's who in finance and industry
uc1.l0050849900,WWFI,1982,ic,Who's who in finance and industry
mdp.39015068911125,WWFI,1986,ic,Who's who in finance and industry.
uc1.32106017121234,WWFI,1986,ic,Who's who in finance and industry
uc1.32106017121242,WWFI,1988,ic,Who's who in finance and industry
uc1.l0050956614,WWFI,1988,ic,Who's who in finance and industry
mdp.39015068910952,WWFI,1990,ic,Who's who in finance and industry.
uc1.l0054724265,WWFI,1990,ic,Who's who in finance and industry
mdp.39015068910960,WWFI,1993,ic,Who's who in finance and industry.
uc1.l0062964978,WWFI,1993,ic,Who's who in finance and industry
uc1.l0068164144,WWFI,1995,ic,Who's who in finance and industry
uc1.l0068125160,WWFI,1997,ic,Who's who in finance and industry
mdp.39015038905652,WWFI,1999,ic,Who's who in finance and industry.
uc1.l0073704223,WWFI,1999,ic,Who's who in finance and industry
mdp.39015046782465,WWFI,2001,ic,Who's who in finance and industry.
mdp.39015046819556,WWFI,2002,ic,Who's who in finance and industry.
mdp.39015071164696,WWMW,,und,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015071164712,WWMW,,und,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015071164720,WWMW,,und,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015071164761,WWMW,,und,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015071164704,WWMW,,und,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015071164738,WWMW,,und,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015071164753,WWMW,,und,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967408,WWMW,1949,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
uiug.30112100021358,WWMW,1952,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
inu.30000122790037,WWMW,1952,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
inu.30000122790029,WWMW,1954,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
rul.39030032747901,WWMW,1956,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
uiug.30112100021374,WWMW,1956,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967416,WWMW,1958,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
rul.39030032747919,WWMW,1960,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967309,WWMW,1960,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
inu.30000122790136,WWMW,1961,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
rul.39030032747828,WWMW,1962,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967291,WWMW,1964,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967390,WWMW,1966,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967382,WWMW,1968,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967374,WWMW,1970,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967366,WWMW,1971,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967358,WWMW,1975,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015016630025,WWMW,1977,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967267,WWMW,1977,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967275,WWMW,1979,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967259,WWMW,1981,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967242,WWMW,1983,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967234,WWMW,1987,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967226,WWMW,1989,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967218,WWMW,1991,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068967200,WWMW,1993,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015023732749,WWMW,1997,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015040088596,WWMW,1999,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015046804293,WWMW,2001,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015046422245,WWMW,2002,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015054023471,WWMW,2003,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015054036937,WWMW,2004,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015058000996,WWMW,2005,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015058000715,WWMW,2006,ic,Who's who in the Midwest; a biographical dictionary of noteworthy men and women of the Central and Midwestern States.
mdp.39015068968166,WWSSW,1947,ic,Who's who in the South and Southwest.
uva.x000548591,WWSSW,1947,pdus,"Who's who in the South and Southwest, a biographical dictionary of leading men and women of the Southern and Southwester"
ufl.35051113376000,WWSSW,1950,ic,Who's who in the South and Southwest.
mdp.39015068968158,WWSSW,1959,ic,Who's who in the South and Southwest.
ufl.35051113376042,WWSSW,1960,ic,Who's who in the South and Southwest.
mdp.39015068968133,WWSSW,1961,ic,Who's who in the South and Southwest.
uiug.30112096606758,WWSSW,1961,ic,Who's who in the South and Southwest.
osu.32435025361304,WWSSW,1963,ic,Who's who in the South and Southwest.
mdp.39015068968141,WWSSW,1964,ic,Who's who in the South and Southwest.
mdp.39015068968125,WWSSW,1966,ic,Who's who in the South and Southwest.
mdp.39015068969891,WWSSW,1968,ic,Who's who in the South and Southwest.
mdp.39015068968109,WWSSW,1970,ic,Who's who in the South and Southwest.
mdp.39015068968117,WWSSW,1970,ic,Who's who in the South and Southwest.
mdp.39015068969883,WWSSW,1972,ic,Who's who in the South and Southwest.
mdp.39015068969867,WWSSW,1976,ic,Who's who in the South and Southwest.
mdp.39015068969859,WWSSW,1977,ic,Who's who in the South and Southwest.
mdp.39015068969842,WWSSW,1979,ic,Who's who in the South and Southwest.
mdp.39015068969834,WWSSW,1981,ic,Who's who in the South and Southwest.
mdp.39015068969826,WWSSW,1983,ic,Who's who in the South and Southwest.
mdp.39015068969818,WWSSW,1985,ic,Who's who in the South and Southwest.
mdp.39015068969800,WWSSW,1987,ic,Who's who in the South and Southwest.
mdp.39015068969792,WWSSW,1989,ic,Who's who in the South and Southwest.
mdp.39015068969784,WWSSW,1992,ic,Who's who in the South and Southwest.
mdp.39015046857671,WWSSW,2000,ic,Who's who in the South and Southwest.
mdp.39015046804301,WWSSW,2001,ic,Who's who in the South and Southwest.
mdp.39015046422914,WWSSW,2002,ic,Who's who in the South and Southwest.
mdp.39015054023018,WWSSW,2003,ic,Who's who in the South and Southwest.
mdp.39015054036986,WWSSW,2004,ic,Who's who in the South and Southwest.
mdp.39015058000988,WWSSW,2005,ic,Who's who in the South and Southwest.
uc1.b000887098,WWW,1913,pd,Who's who in the West.
uc1.$b730679,WWW,1949,ic,Who's who in the West.
uc1.$b730683,WWW,1949,ic,Who's who in the West.
cub.p105212805006,WWW,1949,ic,Who's who in the West.
uc1.$b730680,WWW,1954,ic,Who's who in the West.
uc1.$b714794,WWW,1954,ic,Who's who in the West.
cub.p105212805010,WWW,1954,ic,Who's who in the West.
uc1.$b730681,WWW,1956,ic,Who's who in the West.
cub.p105212805012,WWW,1956,ic,Who's who in the West.
uc1.$b730682,WWW,1958,ic,Who's who in the West.
mdp.39015068969768,WWW,1960,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
rul.39030032747893,WWW,1960,ic,Who's who in the West.
cub.p107280109002,WWW,1960,ic,Who's who in the West.
uc1.$c233424,WWW,1962,ic,Who's who in the West.
uc1.31175028589490,WWW,1962,ic,Who's who in the West.
uva.x001179542,WWW,1962,ic,Who's who in the West.
uva.x000957343,WWW,1962,ic,Who's who in the West.
uva.x000450917,WWW,1962,ic,Who's who in the West.
uva.x030227108,WWW,1962,ic,Who's who in the West.
uva.x030227107,WWW,1962,ic,Who's who in the West.
uva.x030227106,WWW,1962,ic,Who's who in the West.
uva.x030227105,WWW,1962,ic,Who's who in the West.
uva.x030227104,WWW,1962,ic,Who's who in the West.
uva.x030227103,WWW,1962,ic,Who's who in the West.
uva.x030227102,WWW,1962,ic,Who's who in the West.
uva.x004278895,WWW,1962,ic,Who's who in the West.
uva.x004051799,WWW,1962,ic,Who's who in the West.
uva.x002412824,WWW,1962,ic,Who's who in the West.
uva.x001623498,WWW,1962,ic,Who's who in the West.
uva.x001622609,WWW,1962,ic,Who's who in the West.
uva.x000448683,WWW,1962,ic,Who's who in the West.
uva.x000448684,WWW,1962,ic,Who's who in the West.
uva.x002701656,WWW,1962,ic,Who's who in the West.
rul.39030032747851,WWW,1962,ic,Who's who in the West.
mdp.39015068969750,WWW,1964,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969743,WWW,1966,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969735,WWW,1968,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969727,WWW,1970,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969669,WWW,1971,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969685,WWW,1973,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969677,WWW,1975,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969693,WWW,1979,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969701,WWW,1981,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969719,WWW,1983,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969636,WWW,1985,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969644,WWW,1986,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969651,WWW,1988,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969628,WWW,1990,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015068969610,WWW,1993,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015016319850,WWW,1995,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015038901941,WWW,1999,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015046782457,WWW,2001,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015046804277,WWW,2002,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015046422922,WWW,2002,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015054023430,WWW,2003,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015054037034,WWW,2004,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015057971593,WWW,2005,ic,Who's who in the West; a biographical dictionary of noteworthy men and women of the Pacific coast and the Western States
mdp.39015073871918,WWW,2008,ic,Who's who in the western fiction of Zane Grey / John Donahue.
